Date : 2021-08-27 21:40:51
Directory : c:\Users\lxue\IdeaProjects\blog-parent
Total : 108 files,  3044 codes, 871 comments, 827 blanks, all 4742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\jarRepositories.xml                                                           | XML        |         25 |          0 |          0 |         25 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\misc.xml                                                                      | XML        |         19 |          0 |          0 |         19 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\mybatis-generator-config.xml                                                  | XML        |         16 |          0 |          0 |         16 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\mybatisx\templates.xml                                                        | XML        |         81 |          0 |          0 |         81 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\runConfigurations.xml                                                         | XML        |         10 |          0 |          0 |         10 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\sqldialects.xml                                                               | XML        |          7 |          0 |          0 |          7 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\uiDesigner.xml                                                                | XML        |        124 |          0 |          0 |        124 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\pom.xml                                                                    | XML        |        158 |          5 |         32 |        195 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\BlogApp.java                                  | Java       |          9 |          0 |          5 |         14 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\common\aop\Cache\CacheAnnotation.java         | Java       |          9 |          7 |          5 |         21 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\common\aop\Cache\CacheAspect.java             | Java       |         69 |         17 |         14 |        100 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\common\aop\LastLogin\LastLoginAnnotation.java | Java       |          7 |          8 |          3 |         18 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\common\aop\LastLogin\LastLoginAspect.java     | Java       |         49 |         24 |         12 |         85 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\common\aop\Log\LogAnnotation.java             | Java       |          9 |          5 |          3 |         17 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\common\aop\Log\LogAspect.java                 | Java       |         57 |         16 |         12 |         85 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\config\ElasticsearchClientConfig.java         | Java       |         41 |         12 |         13 |         66 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\config\MybatisPlusConfig.java                 | Java       |         16 |          1 |          4 |         21 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\config\ThreadPoolConfig.java                  | Java       |         22 |          7 |          9 |         38 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\config\WebMVCConfig.java                      | Java       |         36 |         16 |         10 |         62 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\ArticleController.java             | Java       |         53 |         40 |         20 |        113 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\CategoryController.java            | Java       |         26 |         20 |          9 |         55 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\CommentContorller.java             | Java       |         20 |          5 |          7 |         32 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\LogoutController.java              | Java       |         18 |          0 |          8 |         26 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\TagsController.java                | Java       |         31 |         17 |         16 |         64 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\Test.java                          | Java       |         37 |          0 |          7 |         44 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\UploadController.java              | Java       |         28 |          6 |          9 |         43 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\user\LoginController.java          | Java       |         24 |          5 |         12 |         41 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\user\RegisterController.java       | Java       |         19 |          5 |          6 |         30 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\controller\user\UserInfoController.java       | Java       |         18 |          5 |          8 |         31 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\ES\ElasticSearchService.java              | Java       |         17 |         47 |         24 |         88 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\ES\ElasticSearchServiceImpl.java          | Java       |        120 |         59 |         46 |        225 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\dos\Archives.java                         | Java       |          8 |          0 |          4 |         12 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\ArticleBodyMapper.java             | Java       |          7 |          0 |          4 |         11 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\ArticleESMapper.java               | Java       |          9 |          5 |          4 |         18 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\ArticleMapper.java                 | Java       |         13 |          0 |          6 |         19 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\ArticleTagMapper.java              | Java       |          7 |          5 |          3 |         15 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\CategoryMapper.java                | Java       |          7 |          0 |          3 |         10 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\CommentMapper.java                 | Java       |          7 |          5 |          3 |         15 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\SysUserMapper.java                 | Java       |          7 |          0 |          4 |         11 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\mapper\TagMapper.java                     | Java       |         11 |         15 |          8 |         34 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\pojo\Category.java                        | Java       |          9 |          0 |          5 |         14 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\pojo\Comment.java                         | Java       |         13 |          0 |          6 |         19 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\pojo\SysUser.java                         | Java       |         18 |          0 |          8 |         26 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\pojo\Tag.java                             | Java       |          8 |          2 |          5 |         15 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\pojo\article\Article.java                 | Java       |         18 |          6 |          7 |         31 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\pojo\article\ArticleBody.java             | Java       |          9 |          0 |          5 |         14 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\dao\pojo\article\ArticleTag.java              | Java       |          8 |          5 |          3 |         16 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\hander\AllExceptionHander.java                | Java       |         14 |          2 |          8 |         24 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\hander\LoginInterceptorHander.java            | Java       |         59 |         31 |         13 |        103 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\ArticleService.java                   | Java       |         15 |         42 |         15 |         72 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\CategoryService.java                  | Java       |          9 |         18 |          8 |         35 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\CommentService.java                   | Java       |          7 |          5 |          4 |         16 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\LoginService.java                     | Java       |         10 |         12 |          6 |         28 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\RegisterService.java                  | Java       |          8 |          5 |          6 |         19 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\SysUserService.java                   | Java       |         12 |          9 |          9 |         30 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\TagService.java                       | Java       |         11 |         15 |         10 |         36 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\ThreadService.java                    | Java       |         43 |         10 |         12 |         65 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\TokenService.java                     | Java       |          7 |          5 |          3 |         15 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\ArticleServiceImpl.java          | Java       |        204 |         93 |         27 |        324 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\CategoryServiceImpl.java         | Java       |         54 |         14 |         16 |         84 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\CommentServiceImpl.java          | Java       |         86 |         20 |         14 |        120 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\LoginServiceImpl.java            | Java       |         91 |         21 |         25 |        137 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\RegisterServiceImlp.java         | Java       |         54 |         11 |          8 |         73 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\SysUserServiceImpl.java          | Java       |         77 |         17 |         17 |        111 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\TagServiceImpl.java              | Java       |         67 |         18 |         14 |         99 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\service\impl\TokenServiceImlp.java            | Java       |         52 |         13 |         15 |         80 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\HttpContextUtils.java                   | Java       |          9 |          5 |          4 |         18 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\IpUtils.java                            | Java       |         37 |         13 |          6 |         56 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\JwtUtils.java                           | Java       |         37 |          1 |          7 |         45 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\QiniuUtils.java                         | Java       |         45 |         15 |          5 |         65 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\Tools.java                              | Java       |         28 |          5 |         10 |         43 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\UserThreadLocal.java                    | Java       |         17 |          0 |          5 |         22 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\result\CodeMsg.java                     | Java       |         34 |          4 |         22 |         60 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\utils\result\Result.java                      | Java       |         17 |          0 |          7 |         24 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\CommentVo.java                             | Java       |         16 |          6 |          4 |         26 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\LoginUserVo.java                           | Java       |         11 |          1 |          6 |         18 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\SysUserVo.java                             | Java       |         16 |          6 |          3 |         25 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\UserVo.java                                | Java       |          8 |          5 |          3 |         16 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\articlevo\ArticleBodyVo.java               | Java       |          8 |          0 |          4 |         12 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\articlevo\ArticleESVo.java                 | Java       |          9 |          5 |          3 |         17 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\articlevo\ArticleVo.java                   | Java       |         24 |          2 |          8 |         34 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\articlevo\CategoryVo.java                  | Java       |         11 |          1 |          4 |         16 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\articlevo\TagVo.java                       | Java       |         10 |          0 |          4 |         14 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\params\ArticleBodyParam.java               | Java       |          7 |          5 |          3 |         15 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\params\ArticleParam.java                   | Java       |         14 |          5 |          6 |         25 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\params\CommentParam.java                   | Java       |          9 |          5 |          3 |         17 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\params\LoginParams.java                    | Java       |          7 |          0 |          4 |         11 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\params\PageParams.java                     | Java       |         17 |          0 |          6 |         23 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\java\com\titxu\blog\vo\params\RegisterParams.java                 | Java       |          8 |          0 |          3 |         11 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\resources\application.properties                                  | Properties |         17 |          9 |          8 |         34 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\resources\com\titxu\blog\dao\mapper\ArticleESMapper.xml           | XML        |         17 |          1 |          2 |         20 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\resources\com\titxu\blog\dao\mapper\ArticleMapper.xml             | XML        |         39 |          1 |          7 |         47 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\resources\com\titxu\blog\dao\mapper\TagMapper.xml                 | XML        |         22 |          4 |          7 |         33 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\main\resources\settings.json                                           | JSON       |          5 |          0 |          0 |          5 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\src\test\java\com\titxu\blog\ElasticsearchTest.java                        | Java       |         74 |         26 |         35 |        135 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\target\classes\application.properties                                      | Properties |         17 |          9 |          8 |         34 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\target\classes\com\titxu\blog\dao\mapper\ArticleESMapper.xml               | XML        |         17 |          1 |          2 |         20 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\target\classes\com\titxu\blog\dao\mapper\ArticleMapper.xml                 | XML        |         39 |          1 |          7 |         47 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\target\classes\com\titxu\blog\dao\mapper\TagMapper.xml                     | XML        |         22 |          4 |          7 |         33 |
| c:\Users\lxue\IdeaProjects\blog-parent\blog-api\target\classes\settings.json                                               | JSON       |          5 |          0 |          0 |          5 |
| c:\Users\lxue\IdeaProjects\blog-parent\pom.xml                                                                             | XML        |         56 |          0 |         12 |         68 |
| Total                                                                                                                      |            |      3,044 |        871 |        827 |      4,742 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
